표 1
,영어 국가명,한글 국가명,장소 이름명(언어 코드-국가 코드),국기 이름명,기본 이미지 이름명,주요 화폐,블러 이미지 이름명
-1,Unknown,알 수 없음,-,DefaultFlag,DefaultImage,[Unknown],BlurredDefaultImage,
0,Korea,대한민국,ko-KR,KoreaFlag,KoreaDefaultImage,[KRW],KoreaBlurredDefaultImage,
1,China,중국,zh-CN,ChinaFlag,ChinaDefaultImage,[CNY],ChinaBlurredDefaultImage,
2,Japan,일본,ja-JP,JapanFlag,JapanDefaultImage,[JPY],JapanBlurredDefaultImage,
3,USA,미국,en-US,USAFlag,USADefaultImage,[USD],USABlurredDefaultImage,
4,Germany,독일,de-DE,GermanyFlag,GermanyDefaultImage,[EUR],GermanyBlurredDefaultImage,
5,France,프랑스,fr-FR,FranceFlag,FranceDefaultImage,[EUR],FranceBlurredDefaultImage,
6,UK,영국,en-GB,UKFlag,UKDefaultImage,[GBP],UKBlurredDefaultImage,
7,Taiwan,대만,zh-TW,TaiwanFlag,TaiwanDefaultImage,[TWD],TaiwanBlurredDefaultImage,
8,Vietnam,베트남,vi-VN,VietnamFlag,VietnamDefaultImage,[VND],VietnamBlurredDefaultImage,
9,Mongolia,몽골,mn-MN,MongoliaFlag,MongoliaDefaultImage,[MNT],MongoliaBlurredDefaultImage,
10,Turkey,튀르키예,tr-TR,TurkeyFlag,TurkeyDefaultImage,[TRY],TurkeyBlurredDefaultImage,
11,Thailand,태국,th-TH,ThailandFlag,ThailandDefaultImage,[THB],ThailandBlurredDefaultImage,
12,Hongkong,홍콩,zh-HK,HongkongFlag,HongkongDefaultImage,[HKD,USD],HongkongBlurredDefaultImage,
13,Macao,마카오,zh-MO,MacaoFlag,MacaoDefaultImage,[MOP,HKD],MacaoBlurredDefaultImage,
14,Philippine,필리핀,tl-PH,PhilippineFlag,PhilippineDefaultImage,[PHP],PhilippineBlurredDefaultImage,
15,Singapore,싱가포르,en-SG,SingaporeFlag,SingaporeDefaultImage,[SGD],SingaporeBlurredDefaultImage,
16,Guam,괌,en-GU,GuamFlag,GuamDefaultImage,[USD],SingaporeBlurredDefaultImage,
17,Saipan,사이판,en-MP,SaipanFlag,SaipanDefaultImage,[USD],SaipanBlurredDefaultImage,
18,Italy,이탈리아,it-IT,ItalyFlag,ItalyDefaultImage,[EUR],ItalyBlurredDefaultImage,
19,Spain,스페인,es-ES,SpainFlag,SpainDefaultImage,[EUR],SpainBlurredDefaultImage,
20,Australia,호주,en-AU,AustraliaFlag,AustraliaDefaultImage,[AUD],AustraliaBlurredDefaultImage,
21,Canada,캐나다,en-CA,CanadaFlag,CanadaDefaultImage,[CAD],CanadaBlurredDefaultImage,
22,Swiss,스위스,de-CH,SwissFlag,SwissDefaultImage,[CHF],SwissBlurredDefaultImage,
23,Czech,체코,cs-CZ,CzechFlag,CzechDefaultImage,[CZK],CzechBlurredDefaultImage,
24,Hungary,헝가리,hu-HU,HungaryFlag,HungaryDefaultImage,[HUF],HungaryBlurredDefaultImage,
25,NewZealand,뉴질랜드,en-NZ,NewZealandFlag,NewZealandDefaultImage,[NZD],NewZealandBlurredDefaultImage,
26,Netherland,네덜란드,nl-NL,NetherlandFlag,NetherlandDefaultImage,[EUR],NetherlandBlurredDefaultImage,
27,Denmark,덴마크,da-DK,DenmarkFlag,DenmarkDefaultImage,[DKK],DenmarkBlurredDefaultImage,
